Order Number,Product Name,Order Type,Product Cost,Cash on Delivery,Product Unavailable Flag,Multi Mode TraNosport Flag,Speed Delivery Flag,Remote Location,Multi Hop Delivery,Product Size
2503942,Product B,Additional,375,Y,N,Y,N,N,N,Large
2061728,Product B,Additional,555.51,N,Y,Y,N,N,Y,Large
2545860,Product B,Additional,2166.31,N,N,Y,N,N,N,Small
3564189,Product A,New,637.6,Y,N,Y,N,N,N,Medium
2335870,Product A,New,1497.11,Y,Y,Y,N,N,Y,Large
2390224,Product B,Additional,1015.75,Y,N,Y,N,N,N,Large
2899377,Product C,Additional,999,Y,N,Y,N,N,N,Large
1372184,Product C,Additional,1276.14,Y,Y,N,N,N,Y,Large
2480271,Product B,Additional,776.42,N,Y,Y,N,N,Y,Large
2593752,Product C,Additional,676.78,Y,Y,Y,N,N,Y,Large
2447081,Product D,New,1677.8,Y,N,Y,N,N,N,Medium
3000677,Product B,New,583.25,Y,N,Y,N,N,N,Large
1445148,Product B,New,375,Y,Y,Y,N,N,Y,Large
2272029,Product B,Additional,495,N,Y,Y,N,N,Y,Large
3223784,Product B,Additional,937.87,Y,N,N,N,N,N,Large
3284595,Product C,New,624.17,Y,Y,Y,N,N,N,Small-Medium
1821676,Product B,New,2320.4,Y,N,Y,N,N,N,Medium
1569759,Product A,New,765.68,N,Y,N,N,Y,Y,Large
3547889,Product C,Additional,710.08,Y,N,Y,N,N,N,Large
4142755,Product A,Additional,851.38,Y,N,Y,N,N,N,Medium
3890760,Product C,New,650,Y,Y,Y,N,N,Y,Large
3124471,Product B,Additional,1510.1,N,Y,Y,N,N,Y,Medium
2376312,Product D,Additional,885,Y,N,Y,Y,N,N,Medium
4050167,Product D,Additional,2021.62,N,Y,Y,N,N,Y,Medium
3985869,Product D,Additional,4505.83,Y,Y,Y,N,N,Y,Medium
2202540,Product B,Additional,682.83,N,Y,Y,Y,N,Y,Large
2690705,Product B,New,5790,N,N,Y,N,N,N,Medium
3564514,Product B,Additional,1306,N,Y,N,N,N,Y,Large
1445643,Product B,New,375,Y,N,Y,N,N,N,Large
2504137,Product B,Additional,495,N,Y,Y,N,N,Y,Large
3440191,Product B,Additional,266.74,Y,N,Y,N,N,N,Large
2028854,Product B,New,648.96,N,Y,Y,N,N,Y,Large
3208678,Product A,Additional,868.84,N,Y,Y,N,N,Y,Large
2436025,Product B,New,491.26,N,Y,Y,N,N,Y,Large
3680749,Product B,New,3371.95,N,Y,Y,N,N,N,Medium
1888730,Product B,New,1266.18,N,Y,Y,N,N,Y,Medium
3055477,Product C,Additional,2583.35,Y,Y,N,N,N,N,Large
1582743,Product A,New,271.35,N,Y,Y,N,Y,Y,Large
3630580,Product B,Additional,839.1,N,Y,Y,N,N,Y,Large
2102627,Product B,New,510.6,N,Y,Y,N,N,Y,Large
1808303,Product C,Additional,485.02,Y,Y,Y,N,Y,Y,Large
2894200,Product A,New,1500,Y,N,Y,N,N,N,Medium
3591841,Product B,New,555,N,N,Y,N,N,N,Large
2368300,Product A,Additional,630,N,N,Y,N,N,N,Medium
2474026,Product C,Additional,1379.17,Y,Y,Y,N,N,Y,Large
2598387,Product C,Additional,2526.35,Y,Y,Y,N,N,N,Large
3631778,Product C,Additional,495,Y,Y,Y,N,N,Y,Large
2390358,Product C,Additional,462.62,Y,Y,Y,N,N,Y,Large
3265912,Product B,New,8952.49,N,N,Y,N,N,N,Small
3039445,Product B,Additional,2571.06,N,N,N,N,N,N,Small
3087131,Product D,Additional,509.85,Y,Y,Y,N,Y,Y,Large
2462474,Product B,Additional,590.1,N,Y,Y,N,N,Y,Large
1918087,Product B,Additional,1188.93,N,Y,Y,N,Y,Y,Medium
1445988,Product B,New,375,Y,N,Y,N,N,N,Large
4065811,Product B,New,1119,Y,N,Y,N,N,N,Medium
1587655,Product B,New,2285.75,N,Y,Y,N,N,N,Large
3234453,Product A,New,606.2,N,N,Y,N,N,N,Large
2363219,Product A,New,865.8,Y,N,Y,N,N,N,Medium
3323146,Product A,New,588.27,Y,N,Y,N,N,N,Large
2749353,Product C,Additional,2173.27,Y,Y,Y,N,N,Y,Large
3816824,Product D,New,1747.5,Y,N,Y,Y,N,N,Medium
3559642,Product A,New,799.25,N,Y,Y,N,N,Y,Medium
2161822,Product C,Additional,976.3,Y,Y,Y,N,N,Y,Large
3552817,Product A,Additional,910,N,Y,Y,N,N,Y,Large
4136510,Product B,Additional,877,Y,N,Y,N,N,N,Large
4172635,Product B,New,778.7,Y,N,Y,N,N,N,Large
